,date,hour,total_trip_count,fhv_trip_count,fhvhv_trip_count,green_trip_count,yellow_trip_count,big_venue_event_count,street_closure_event_count,subway_disruption_count,arriving_flights_count,departing_flights_pickup_proxy_count,temperature_c,precipitation_mm,snowfall_cm,windspeed_kmh,month,year,day_of_week,is_weekend,is_holiday
37,2015-06-18,12,26679,4254.0,0.0,2032.0,20393.0,230,230,0,0,0,19.0,0.0,0.0,8.1,6,2015,3,0,0
38,2015-06-22,7,22904,4375.0,0.0,1641.0,16888.0,0,227,0,0,0,20.5,0.0,0.0,10.1,6,2015,0,0,0
39,2015-06-28,11,24275,4411.0,0.0,2116.0,17748.0,232,1624,0,0,0,20.0,0.0,0.0,9.6,6,2015,6,1,0
40,2015-06-29,19,30479,5492.0,0.0,2599.0,22388.0,663,0,0,0,0,22.5,0.0,0.0,7.1,6,2015,0,0,0
41,2015-06-30,9,27792,5219.0,0.0,2287.0,20286.0,222,0,0,0,0,22.399999999999995,0.0,0.0,5.400000000000001,6,2015,1,0,0
42,2015-07-01,9,28692,5828.0,0.0,2424.0,20440.0,225,450,0,0,0,21.6,1.6,0.0,10.8,7,2015,2,0,0
43,2015-07-03,17,23215,4029.0,0.0,3053.0,16133.0,0,0,0,0,0,26.0,0.0,0.0,2.6,7,2015,4,0,1
44,2015-07-05,8,7199,1363.0,0.0,681.0,5155.0,1260,1260,0,0,0,21.2,0.0,0.0,3.8,7,2015,6,1,0
45,2015-07-05,13,19778,3699.0,0.0,1910.0,14169.0,0,0,0,0,0,26.8,0.0,0.0,5.1,7,2015,6,1,0
46,2015-07-06,11,19367,3187.0,0.0,1723.0,14457.0,0,0,0,0,0,24.5,0.0,0.0,8.7,7,2015,0,0,0
47,2015-07-10,16,24665,5987.0,0.0,3031.0,15647.0,228,0,0,0,0,27.7,0.0,0.0,10.6,7,2015,4,0,0
48,2015-07-12,11,23930,4790.0,0.0,1883.0,17257.0,0,2486,0,0,0,27.9,0.0,0.0,2.9,7,2015,6,1,0
49,2015-07-14,7,22781,4581.0,0.0,1353.0,16847.0,0,0,0,0,0,21.0,0.0,0.0,2.9,7,2015,1,0,0
50,2015-07-14,11,24137,4054.0,0.0,1754.0,18329.0,0,220,0,0,0,24.5,0.6,0.0,9.5,7,2015,1,0,0
51,2015-07-16,12,25687,4384.0,0.0,1967.0,19336.0,223,223,0,0,0,23.1,0.0,0.0,8.1,7,2015,3,0,0
52,2015-07-19,1,32327,7369.0,0.0,4047.0,20911.0,0,0,0,0,0,23.6,0.0,0.0,11.0,7,2015,6,1,0
53,2015-07-20,7,23507,4946.0,0.0,1526.0,17035.0,0,0,0,0,0,25.3,0.0,0.0,8.8,7,2015,0,0,0
54,2015-07-22,16,23501,6095.0,0.0,2458.0,14948.0,0,231,0,0,0,28.2,0.0,0.0,18.8,7,2015,2,0,0
55,2015-07-23,7,24147,5081.0,0.0,1433.0,17633.0,0,0,0,0,0,19.0,0.0,0.0,8.5,7,2015,3,0,0
56,2015-07-27,15,24257,4689.0,0.0,2017.0,17551.0,0,0,0,0,0,26.5,0.3,0.0,10.1,7,2015,0,0,0
57,2015-08-07,8,28763,7371.0,0.0,2331.0,19061.0,464,1624,0,0,0,21.0,0.0,0.0,12.1,8,2015,4,0,0
58,2015-08-07,9,27305,6722.0,0.0,2267.0,18316.0,454,681,0,0,0,22.600000000000005,0.0,0.0,11.800000000000002,8,2015,4,0,0
59,2015-08-13,0,18763,4386.0,0.0,1971.0,12406.0,0,223,0,0,0,20.3,0.0,0.0,10.5,8,2015,3,0,0
60,2015-08-13,10,24666,5350.0,0.0,1983.0,17333.0,232,696,0,0,0,22.4,0.0,0.0,6.3,8,2015,3,0,0
61,2015-08-13,12,24491,4977.0,0.0,1821.0,17693.0,232,696,0,0,0,24.7,0.0,0.0,7.9,8,2015,3,0,0
62,2015-08-24,13,22249,4671.0,0.0,1614.0,15964.0,0,0,0,0,0,28.4,0.0,0.0,5.2,8,2015,0,0,0
63,2015-09-04,11,24218,5860.0,0.0,1998.0,16360.0,0,233,0,0,0,26.2,0.1,0.0,15.8,9,2015,4,0,0
64,2015-09-17,1,12456,2841.0,0.0,1154.0,8461.0,0,0,0,0,0,18.0,0.0,0.0,5.6,9,2015,3,0,0
65,2015-10-03,12,31877,8752.0,0.0,2447.0,20678.0,238,1190,0,0,0,11.3,0.0,0.0,27.0,10,2015,5,1,0
66,2015-10-06,13,24922,5860.0,0.0,1699.0,17363.0,0,0,0,0,0,19.1,0.0,0.0,5.6,10,2015,1,0,0
67,2015-10-09,14,30618,7985.0,0.0,2408.0,20225.0,0,240,0,0,0,23.7,0.0,0.0,16.9,10,2015,4,0,0
68,2015-10-11,14,29634,8396.0,0.0,2308.0,18930.0,0,242,0,0,0,18.5,0.0,0.0,11.5,10,2015,6,1,0
69,2015-10-16,9,32468,9331.0,0.0,2490.0,20647.0,0,1220,0,0,0,11.4,0.0,0.0,13.2,10,2015,4,0,0
70,2015-10-16,10,28508,7350.0,0.0,2232.0,18926.0,238,714,0,0,0,13.1,0.0,0.0,16.9,10,2015,4,0,0
71,2015-10-16,11,29263,7237.0,0.0,2096.0,19930.0,0,478,0,0,0,14.3,0.0,0.0,15.0,10,2015,4,0,0
72,2015-10-16,12,28995,7246.0,0.0,1982.0,19767.0,237,474,0,0,0,15.3,0.0,0.0,16.5,10,2015,4,0,0
73,2015-10-16,13,28678,7406.0,0.0,1950.0,19322.0,0,241,0,0,0,16.1,0.0,0.0,16.7,10,2015,4,0,0
74,2015-10-16,14,31721,8155.0,0.0,2467.0,21099.0,0,236,0,0,0,16.7,0.0,0.0,16.0,10,2015,4,0,0
75,2015-10-16,16,28805,9974.0,0.0,2987.0,15844.0,0,241,0,0,0,16.5,0.0,0.0,14.5,10,2015,4,0,0
76,2015-10-19,7,28826,8866.0,0.0,1913.0,18047.0,0,0,0,0,0,0.3,0.0,0.0,7.7,10,2015,0,0,0
77,2015-10-19,8,34170,10623.0,0.0,2776.0,20771.0,0,976,0,0,0,0.6,0.0,0.0,7.5,10,2015,0,0,0
78,2015-10-19,12,25629,6179.0,0.0,1789.0,17661.0,0,238,0,0,0,6.9,0.0,0.0,7.5,10,2015,0,0,0
79,2015-10-19,15,28410,7171.0,0.0,2201.0,19038.0,711,0,0,0,0,9.8,0.0,0.0,9.8,10,2015,0,0,0
80,2015-10-19,16,27455,7689.0,0.0,2432.0,17334.0,0,236,0,0,0,10.3,0.0,0.0,11.6,10,2015,0,0,0
81,2015-10-19,17,32855,9255.0,0.0,2734.0,20866.0,237,0,0,0,0,10.2,0.0,0.0,12.9,10,2015,0,0,0
82,2015-10-20,7,29522,8821.0,0.0,1752.0,18949.0,239,0,0,0,0,7.5,0.0,0.0,15.5,10,2015,1,0,0
83,2015-10-20,8,34536,10408.0,0.0,2583.0,21545.0,0,2196,0,0,0,7.9,0.0,0.0,15.8,10,2015,1,0,0
84,2015-10-20,9,31216,8722.0,0.0,2376.0,20118.0,0,239,0,0,0,9.4,0.0,0.0,15.7,10,2015,1,0,0
85,2015-10-20,10,26568,6645.0,0.0,1996.0,17927.0,0,0,0,0,0,11.3,0.0,0.0,16.0,10,2015,1,0,0
86,2015-10-20,11,25542,5950.0,0.0,1739.0,17853.0,0,0,0,0,0,13.3,0.0,0.0,16.1,10,2015,1,0,0
87,2015-10-20,12,25594,5933.0,0.0,1653.0,18008.0,0,0,0,0,0,15.4,0.0,0.0,16.4,10,2015,1,0,0
88,2015-10-20,13,25210,5822.0,0.0,1745.0,17643.0,0,0,0,0,0,17.2,0.0,0.0,17.2,10,2015,1,0,0
89,2015-10-20,14,27976,6651.0,0.0,2138.0,19187.0,234,0,0,0,0,18.5,0.0,0.0,17.2,10,2015,1,0,0
90,2015-10-20,15,28448,7413.0,0.0,2318.0,18717.0,948,0,0,0,0,19.7,0.0,0.0,16.1,10,2015,1,0,0
91,2015-10-20,16,26682,7952.0,0.0,2418.0,16312.0,0,238,0,0,0,19.9,0.0,0.0,14.3,10,2015,1,0,0
92,2015-10-20,17,32903,9680.0,0.0,2766.0,20457.0,0,236,0,0,0,19.2,0.0,0.0,12.5,10,2015,1,0,0
93,2015-10-21,4,4437,1559.0,0.0,411.0,2467.0,0,0,0,0,0,11.099999999999998,0.0,0.0,10.3,10,2015,2,0,0
94,2015-10-21,7,28146,8329.0,0.0,1612.0,18205.0,0,474,0,0,0,9.0,0.0,0.0,7.5,10,2015,2,0,0
95,2015-10-21,8,32784,9725.0,0.0,2404.0,20655.0,0,2187,0,0,0,9.1,0.0,0.0,6.2,10,2015,2,0,0
96,2015-10-21,9,30181,8606.0,0.0,2192.0,19383.0,0,723,0,0,0,12.5,0.0,0.0,4.3,10,2015,2,0,0
97,2015-10-21,10,27203,6848.0,0.0,1924.0,18431.0,0,235,0,0,0,15.3,0.0,0.0,2.6,10,2015,2,0,0
98,2015-10-21,11,26559,6158.0,0.0,1870.0,18531.0,0,0,0,0,0,17.6,0.0,0.0,1.6,10,2015,2,0,0
99,2015-10-21,12,26614,6116.0,0.0,1816.0,18682.0,0,237,0,0,0,19.4,0.0,0.0,0.8,10,2015,2,0,0
