,yellow,green,fhv,fhvhv
yellow,1.0,0.8101892138140308,0.6850774861137646,0.7859513385030312
green,0.8101892138140308,1.0,0.3561515953305806,0.34321037675772725
fhv,0.6850774861137646,0.3561515953305806,1.0,0.7235966758000965
fhvhv,0.7859513385030312,0.34321037675772725,0.7235966758000965,1.0
