,month,operator,trip_count
185,2025-01-01,LYFT,5049211
186,2025-01-01,UBER,15356455
187,2025-02-01,LYFT,4919838
188,2025-02-01,UBER,14419623
189,2025-03-01,LYFT,5989698
190,2025-03-01,UBER,14547181
191,2025-04-01,LYFT,5393461
192,2025-04-01,UBER,14360522
193,2025-05-01,LYFT,6052324
194,2025-05-01,UBER,15038869
195,2025-06-01,LYFT,5700648
196,2025-06-01,UBER,14167361
197,2025-07-01,LYFT,5511230
198,2025-07-01,UBER,14141782
199,2025-08-01,LYFT,5713104
200,2025-08-01,UBER,13558357
201,2025-09-01,LYFT,5387601
202,2025-09-01,UBER,14047040
203,2025-10-01,LYFT,5838529
204,2025-10-01,UBER,15470172
205,2025-11-01,LYFT,5909784
206,2025-11-01,UBER,14908456
207,2025-12-01,LYFT,6134710
208,2025-12-01,UBER,15973728
209,2026-01-01,LYFT,5694742
210,2026-01-01,UBER,15245631
211,2026-02-01,LYFT,5
212,2026-02-01,UBER,8
