year,row_count
2001,27
2002,498
2003,50
2004,1
2007,1
2008,771
2009,1304
2010,1
2011,4
2012,171359008
2013,171816340
2014,165447580
2015,146039232
2016,131131805
2017,113500386
2018,102870524
2019,84597309
2020,24649266
2021,30903983
2022,39655622
2023,38310138
2024,41169691
2025,48722584
2026,7124754
2028,1
2029,7
2031,2
2032,1
2033,3
2037,1
2038,4
2041,3
2042,1
2053,2
2058,3
2066,1
2070,1
2084,8
2088,2
2090,1
2098,1
